İlan No,İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Çekiş,Araç Durumu,Ort. Yakıt Tüketimi,Yakıt Deposu,Boya-değişen,Takasa Uygun,Kimden,tramer,Fiyat
25143588,03 Mayıs 2024,Chevrolet,Captiva,2.0 D LT High,2010,74.000 km,Otomatik,Dizel,Crossover,Siyah,1991 cc,150 hp,4WD (Sürekli),İkinci El,"8,7 lt",65 lt,2 boyalı,Takasa Uygun Değil,Galeriden,,810.000 TL
23753909,01 Mayıs 2024,Audi,Q5,2.0 TDI Quattro,2010,258.000 km,Yarı Otomatik,Dizel,Crossover,Beyaz,1968 cc,170 hp,4WD (Sürekli),,"6,7 lt",75 lt,Tamamı orjinal,Takasa Uygun,Galeriden,,1.180.000 TL
24704185,04 Nisan 2024,Opel,Antara,2.0 CDTI Enjoy,2010,253.000 km,Otomatik,Dizel,Crossover,Beyaz,1991 cc,150 hp,4WD (Sürekli),İkinci El,"8,6 lt",65 lt,1 değişen,Takasa Uygun,Galeriden,,620.000 TL
25278122,03 Mayıs 2024,Volkswagen,Tiguan,1.4 TSI Sport&Style,2010,176.000 km,Düz,Benzin,Crossover,Beyaz,1390 cc,150 hp,Önden Çekiş,İkinci El,"6,7 lt",64 lt,"2 değişen, 1 boyalı",,Sahibinden,,700.000 TL
24135016,03 Mayıs 2024,Nissan,Qashqai,1.6 Visia,2010,118.750 km,Düz,Benzin,Crossover,Siyah,1598 cc,115 hp,Önden Çekiş,İkinci El,"6,7 lt",65 lt,4 boyalı,Takasa Uygun,Sahibinden,,615.000 TL
21186055,03 Mayıs 2024,Jeep,Wrangler,3.8,2010,62.000 km,Otomatik,Benzin,SUV,Siyah,3501 - 4000 cm3,176 - 200 HP,4WD (Sürekli),İkinci El,,,Belirtilmemiş,Takasa Uygun,Galeriden,,2.750.000 TL
25273473,03 Mayıs 2024,Peugeot,3008,1.6 HDi Allure,2010,240.000 km,Yarı Otomatik,Dizel,Crossover,Füme,1598 cc,114 hp,Önden Çekiş,İkinci El,"4,9 lt",60 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,5000,690.000 TL
25142025,03 Mayıs 2024,Land Rover,Freelander,2.2 TD4 XS Limited,2010,222.000 km,Otomatik,Dizel,Crossover,Beyaz,2179 cc,160 hp,4WD (Sürekli),İkinci El,"7,5 lt",68 lt,Belirtilmemiş,Takasa Uygun,Galeriden,,920.000 TL
25141151,03 Mayıs 2024,Volkswagen,Tiguan,1.4 TSI Sport&Style,2010,163.000 km,Düz,LPG & Benzin,Crossover,Beyaz,1390 cc,150 hp,4WD (Sürekli),İkinci El,8 lt,64 lt,Tamamı orjinal,Takasa Uygun,Galeriden,,725.000 TL
25144632,03 Mayıs 2024,Land Rover,Range Rover Sport,3.0 TDV6 Premium HSE,2010,250.000 km,Otomatik,Dizel,Crossover,Beyaz,2993 cc,245 hp,4WD (Sürekli),İkinci El,"9,2 lt",84 lt,Belirtilmemiş,Takasa Uygun,Galeriden,,1.850.000 TL
